term_id,name,slug,description,display_type,parent,parent_slug,thumbnail
114,BLOWER,blower,"Kategori blower bekas untuk kebutuhan ventilasi dapur restoran, cafe, bakery, dan usaha kuliner. Cocok untuk membantu sirkulasi udara dan pembuangan asap dapur komersial dengan harga lebih hemat dan kondisi siap pakai.",products,113,hood-stainless,
156,"CAKE SHOWCASE",cake-showcase,"Kategori cake showcase bekas untuk kebutuhan cafe, bakery. Cocok digunakan untuk display kue , kondisi siap pakai, dan harga lebih hemat.",products,153,showcase,
110,"CHEST FREEZER",chest-freezer,"Chest freezer bekas restoran cocok digunakan untuk frozen food, cafe, minimarket, dan usaha kuliner. Tersedia berbagai ukuran freezer horizontal dengan kondisi siap pakai dan harga lebih ekonomis.",products,109,freezer,
105,CHILLER,chiller,"Chiller bekas restoran cocok digunakan untuk cafe, bakery, minimarket, dan berbagai usaha kuliner. Tersedia pilihan upright chiller dan undercounter chiller dengan kondisi siap pakai dan harga lebih ekonomis.",subcategories,0,,https://origin.bukanbarukitchen.com/wp-content/uploads/2026/04/4.webp
108,"CHILLER LAINNYA",lainnya-chiller,"Kategori chiller lainnya berisi berbagai jenis chiller bekas restoran, cafe, bakery, dan usaha kuliner yang tidak masuk kategori utama namun tetap layak pakai dan siap digunakan.",products,105,chiller,
129,"DEEP FRYER",deep-fryer,"Kategori deep fryer bekas untuk kebutuhan restoran, cafe, fried chicken, dan usaha kuliner. Cocok digunakan untuk proses menggoreng dalam jumlah besar dengan kondisi siap pakai dan harga lebih hemat.",products,122,kompor,
160,"DOUBLE SINK STAINLESS",double-sink-stainless,"Kategori double sink stainless bekas untuk kebutuhan restoran, cafe, bakery, dan usaha kuliner. Cocok digunakan untuk area pencucian dapur komersial dengan dua bak sink, kondisi siap pakai, dan harga lebih hemat.",products,158,sink-stainless,
115,DUCTING,ducting,"Kategori ducting bekas untuk kebutuhan instalasi ventilasi dapur restoran, cafe, bakery, dan usaha kuliner. Cocok untuk mendukung sistem pembuangan asap dapur komersial dengan harga lebih hemat dan kondisi siap pakai.",products,113,hood-stainless,
109,FREEZER,freezer,"Freezer bekas restoran cocok digunakan untuk cafe, bakery, frozen food, minimarket, dan usaha kuliner. Tersedia berbagai pilihan freezer dengan kondisi siap pakai dan harga lebih ekonomis.",subcategories,0,,https://origin.bukanbarukitchen.com/wp-content/uploads/2026/04/4.webp
111,"FREEZER LAINNYA",lainnya-freezer,"Kategori freezer lainnya berisi berbagai jenis freezer bekas restoran, cafe, frozen food, dan usaha kuliner yang tidak masuk kategori utama namun tetap siap pakai.",products,109,freezer,
116,HOOD,hood,"Kategori hood bekas untuk kebutuhan dapur restoran, cafe, bakery, dan usaha kuliner. Tersedia berbagai pilihan hood siap pakai untuk membantu sistem ventilasi dapur komersial dengan harga lebih hemat.",products,113,hood-stainless,
113,"HOOD STAINLESS",hood-stainless,"Kategori hood stainless bekas untuk kebutuhan dapur restoran, cafe, bakery, dan usaha kuliner. Tersedia berbagai pilihan hood siap pakai dengan harga lebih hemat untuk sistem sirkulasi dapur profesional.",subcategories,0,,https://origin.bukanbarukitchen.com/wp-content/uploads/2026/04/5.webp
117,"HOOD STAINLESS LAINNYA",lainnya-hood,"Kategori hood stainless bekas lainnya berisi berbagai perlengkapan ventilasi dapur restoran, cafe, bakery, dan usaha kuliner. Cocok untuk kebutuhan dapur komersial dengan kondisi siap pakai dan harga lebih hemat.",products,113,hood-stainless,
119,"ICE BIN",ice-bin,"Kategori ice bin bekas untuk kebutuhan penyimpanan es pada restoran, cafe, bakery, dan usaha minuman. Cocok digunakan untuk dapur komersial dan bar dengan kondisi siap pakai serta harga lebih hemat.",products,118,ice-system,
120,"ICE MAKER",ice-maker,"Kategori ice maker bekas untuk kebutuhan produksi es pada restoran, cafe, bakery, dan usaha minuman. Tersedia berbagai pilihan mesin es siap pakai dengan harga lebih hemat untuk kebutuhan dapur komersial.",products,118,ice-system,
